form	lemma	POS	morph
༄༅། །		PUNCT
ཤ་ཟ་	ཤ་ཟ་	NOUN
སྤང་བ་	སྤང་བ་	VERB
ལ་	ལ་	PART
གདམས་པ་	གདམས་པ་	VERB
"།

༄༅། །"		PUNCT
ཤ་	ཤ་	NOUN
ཟོ་	ཟོ་	VERB
སྡུག་བསྔལ་	སྡུག་བསྔལ་	NOUN
ཡིད་	ཡིད་	NOUN
ལ་	ལ་	PART
དྲན་	དྲན་	VERB
ཙ་ན་	ཙ་ན་	NO_POS
། །		PUNCT
མི་	མི་	PART
བཟོད་	བཟོད་	VERB
སྙིང་	སྙིང་	NOUN
འད་	འདའ་	VERB
ར་	ལ་	PART
གཟེར་	གཟེར་	NO_POS
རྒོད་	རྒོད་	NOUN
འབར་བ་	འབར་བ་	VERB
ནི་	ནི་	NO_POS
། །		PUNCT
ཨོཾ་	ཨོཾ་	X
མ་ཎི་	མ་ཎི་	OTHER
པདྨེ་		NON_WORD
ཧཱུྃ་		NON_WORD
ཧྲཱིཿ་		NON_WORD
སྟོང་ཉིད་	སྟོང་ཉིད་	NOUN
སྙིང་རྗེ་	སྙིང་རྗེ་	NOUN
འི་	གི་	PART
ངང་	ངང་	NOUN
ན་	ནས་	PART
འགྲོ་བ་	འགྲོ་བ་	VERB
འདྲེན་	འདྲེན་	NO_POS
། །		PUNCT
འཕགས་པ་	འཕགས་པ་	VERB
སྤྱན་རས་	སྤྱན་རས་	NO_POS
གཟིགས་	གཟིགས་	VERB
ལ་	ལ་	PART
ཕྱག་	ཕྱག་	NOUN
འཚལ་	འཚལ་	VERB
ལོ་	གོ་	PART
། །		PUNCT
རང་	རང་	PRON
ལ་	ལ་	PART
བྱམས་	བྱམས་	VERB
དང་	དང་	NO_POS
སྙིང་རྗེ་	སྙིང་རྗེ་	NOUN
མ་	མ་	PART
འབྱོངས་པ་	འབྱོངས་པ་	VERB
ས་	གིས་	PART
"།
།"		PUNCT
མ་	མ་	PART
ཤ་ཟ་	ཤ་ཟ་	NOUN
ཞིང་	ཅིང་	PART
གཞན་	གཞན་	DET
ལ་	ལ་	PART
རྒྱུ་འབྲས་	རྒྱུ་འབྲས་	NOUN
བཤད་	བཤད་	VERB
། །		PUNCT
དོན་དམ་	དོན་དམ་	NOUN
མ་	མ་	PART
རྟོགས་	རྟོགས་	VERB
